playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,weight,birthplace,nation,shoots,draft,Birth City,Birth State/Province,draft_age
Adam Erne,68,67,8.1,9.8,80.8,33,Tampa Bay Lightning,Adam Erne (F),2013,0,https://www.eliteprospects.com/player/90359/adam-erne,Detroit Red Wings,Signed,1995-04-20,"6'1""",96 kg / 212,"New Haven, CT, USA",USA,L,2013 round 2 #33 overall by Tampa Bay Lightning,New Haven, ,12.2
Adam Gaudette,50,55,4.3,7.1,90.2,149,Vancouver Canucks,Adam Gaudette (F),2015,0,https://www.eliteprospects.com/player/203361/adam-gaudette,Toronto Maple Leafs,Signed,1996-10-03,"6'1""",77 kg / 170,"Braintree, MA, USA",USA,R,2015 round 5 #149 overall by Vancouver Canucks,Braintree, ,10.7
Adam Gilmour,26,28,1.6,5.0,88.3,98,Minnesota Wild,Adam Gilmour (F),2012,0,https://www.eliteprospects.com/player/190084/adam-gilmour,-,-,1994-01-29,"6'4""",83 kg / 183,"Albany, NY, USA",USA,R,2012 round 4 #98 overall by Minnesota Wild,Albany, ,13.4
Adam Helewka,69,59,12.3,14.6,70.1,106,San Jose Sharks,Adam Helewka (F),2015,0,https://www.eliteprospects.com/player/119394/adam-helewka,-,-,1995-07-21,"6'2""",93 kg / 205,"Burnaby, BC, CAN",Canada,L,2015 round 4 #106 overall by San Jose Sharks,Burnaby, ,11.9
Adam Henrique,66,28,6.3,7.8,34.8,82,New Jersey Devils,Adam Henrique (F),2008,0,https://www.eliteprospects.com/player/19043/adam-henrique,Anaheim Ducks,Signed,1990-02-06,"6'0""",88 kg / 194,"Brantford, ON, CAN",Canada,L,2008 round 3 #82 overall by New Jersey Devils,Brantford, ,17.4
Adam Janosik,63,45,4.0,5.2,58.6,72,Tampa Bay Lightning,Adam Janosik (D),2010,1,https://www.eliteprospects.com/player/34749/adam-janosik,-,-,1992-09-07,"5'11""",83 kg / 183,"Spisska Nova Ves, SVK",Slovakia,L,2010 round 3 #72 overall by Tampa Bay Lightning,Spisska Nova Ves, ,14.8
Adam Larsson,58,91,6.199999999999999,8.8,128.7,4,New Jersey Devils,Adam Larsson (D),2011,1,https://www.eliteprospects.com/player/10713/adam-larsson,Seattle Kraken,Signed,1992-11-12,"6'3""",95 kg / 209,"Skellefteå, SWE",Sweden,R,2011 round 1 #4 overall by New Jersey Devils,Skellefteå, ,14.6
Adam Lowry,66,84,6.3,7.8,104.4,67,Winnipeg Jets,Adam Lowry (F),2011,0,https://www.eliteprospects.com/player/45633/adam-lowry,Winnipeg Jets,Signed,1993-03-29,"6'5""",95 kg / 209,"St. Louis, MO, USA",Canada,L,2011 round 3 #67 overall by Winnipeg Jets,St. Louis, ,14.3
Adam Marsh,60,57,5.0,6.8,77.9,200,Detroit Red Wings,Adam Marsh (F),2015,0,https://www.eliteprospects.com/player/234343/adam-marsh,-,-,1997-08-22,"6'1""",79 kg / 174,"Chicago, IL, USA",USA,L,2015 round 7 #200 overall by Detroit Red Wings,Chicago, ,9.9
Adam Musil,66,71,5.5,6.8,88.2,94,St. Louis Blues,Adam Musil (F),2015,0,https://www.eliteprospects.com/player/189422/adam-musil,-,-,1997-03-26,"6'4""",92 kg / 203,"Delta, BC, CAN",Czechia,R,2015 round 4 #94 overall by St. Louis Blues,Delta, ,10.3
Adam Ollas Mattsson,68,72,1.9,2.3,86.8,175,Calgary Flames,Adam Ollas Mattsson (D),2014,1,https://www.eliteprospects.com/player/114812/adam-ollas-mattsson,-,-,1996-07-30,"6'4""",98 kg / 216,"Stockholm, SWE",Sweden,L,2014 round 6 #175 overall by Calgary Flames,Stockholm, ,10.9
Adam Parsells,44,44,0.6,1.1,82.0,160,San Jose Sharks,Adam Parsells (D),2015,1,https://www.eliteprospects.com/player/245310/adam-parsells,-,-,1997-01-03,"6'6""",87 kg / 192,"Wausau, WI, USA",USA,R,2015 round 6 #160 overall by San Jose Sharks,Wausau, ,10.5
Adam Pelech,51,60,2.9,4.7,96.5,65,New York Islanders,Adam Pelech (D),2012,1,https://www.eliteprospects.com/player/89694/adam-pelech,New York Islanders,Signed,1994-08-16,"6'3""",93 kg / 205,"Toronto, ON, CAN",Canada,L,2012 round 3 #65 overall by New York Islanders,Toronto, ,12.9
Adam Polasek,70,99,4.6,5.4,116.0,145,Vancouver Canucks,Adam Polasek (D),2010,1,https://www.eliteprospects.com/player/34799/adam-polasek,-,-,1991-07-12,"6'3""",95 kg / 209,"Ostrava, CZE",Czechia,L,2010 round 5 #145 overall by Vancouver Canucks,Ostrava, ,16.0
Adam Tambellini,52,26,5.2,8.2,41.0,65,New York Rangers,Adam Tambellini (F),2013,0,https://www.eliteprospects.com/player/103529/adam-tambellini,-,-,1994-11-01,"6'4""",88 kg / 194,"Edmonton, AB, CAN",Canada,L,2013 round 3 #65 overall by New York Rangers,Edmonton, ,12.7
Adrian Kempe,89,86,8.8,8.1,79.2,29,Los Angeles Kings,Adrian Kempe (F),2014,0,https://www.eliteprospects.com/player/86313/adrian-kempe,Los Angeles Kings,Signed,1996-09-13,"6'2""",91 kg / 201,"Kramfors, SWE",Sweden,L,2014 round 1 #29 overall by Los Angeles Kings,Kramfors, ,10.8
Aidan Muir,37,41,1.6,3.5,90.9,113,Edmonton Oilers,Aidan Muir (F),2013,0,https://www.eliteprospects.com/player/207023/aidan-muir,-,-,1995-08-21,"6'3""",83 kg / 183,"Brampton, ON, CAN",Canada,R,2013 round 4 #113 overall by Edmonton Oilers,Brampton, ,11.9
Akim Aliu,53,104,6.0,9.3,160.9,56,Chicago Blackhawks,Akim Aliu (F),2007,0,https://www.eliteprospects.com/player/11116/akim-aliu,-,-,1989-04-24,"6'4""",102 kg / 225,"Okene, NIG",Canada,R,2007 round 2 #56 overall by Chicago Blackhawks,Okene, ,18.2
Alain Goulet,43,34,1.4,2.7,64.8,159,Boston Bruins,Alain Goulet (D),2007,1,https://www.eliteprospects.com/player/12559/alain-goulet,-,-,1988-09-22,"6'3""",88 kg / 194,"Kapuskasing, ON, CAN",Canada,R,2007 round 6 #159 overall by Boston Bruins,Kapuskasing, ,18.8
Alan Quine,76,14,8.5,9.2,15.1,85,Detroit Red Wings,Alan Quine (F),2011,0,https://www.eliteprospects.com/player/45411/alan-quine,-,-,1993-02-25,"6'1""",93 kg / 205,"Belleville, ON, CAN",Canada,L,2013 round 6 #166 overall by New York Islanders,Belleville, ,14.3
Alan Quine,76,14,8.5,9.2,15.1,166,New York Islanders,Alan Quine (F),2013,0,https://www.eliteprospects.com/player/45411/alan-quine,-,-,1993-02-25,"6'1""",93 kg / 205,"Belleville, ON, CAN",Canada,L,2013 round 6 #166 overall by New York Islanders,Belleville, ,14.3
Alan Quine,54,20,9.600000000000001,14.6,30.4,85,Detroit Red Wings,Alan Quine (F),2011,0,https://www.eliteprospects.com/player/45411/alan-quine,-,-,1993-02-25,"6'1""",93 kg / 205,"Belleville, ON, CAN",Canada,L,2013 round 6 #166 overall by New York Islanders,Belleville, ,14.3
Alan Quine,54,20,9.600000000000001,14.6,30.4,166,New York Islanders,Alan Quine (F),2013,0,https://www.eliteprospects.com/player/45411/alan-quine,-,-,1993-02-25,"6'1""",93 kg / 205,"Belleville, ON, CAN",Canada,L,2013 round 6 #166 overall by New York Islanders,Belleville, ,14.3
Alec Martinez,42,40,4.7,9.2,78.1,95,Los Angeles Kings,Alec Martinez (D),2007,1,https://www.eliteprospects.com/player/12531/alec-martinez,Vegas Golden Knights,Signed,1987-07-26,"6'1""",94 kg / 207,"Rochester Hills, MI, USA",USA,L,2007 round 4 #95 overall by Los Angeles Kings,Rochester Hills, ,19.9
Aleksander Barkov,59,14,23.099999999999998,32.1,19.5,2,Florida Panthers,Aleksander Barkov (F),2013,0,https://www.eliteprospects.com/player/50044/aleksander-barkov,Florida Panthers,Signed,1995-09-02,"6'3""",97 kg / 214,"Tampere, FIN",Finland,L,2013 round 1 #2 overall by Florida Panthers,Tampere, ,11.8
Aleksi Mäkelä,60,54,2.6999999999999997,3.7,73.8,182,Dallas Stars,Aleksi Mäkelä (D),2013,1,https://www.eliteprospects.com/player/92114/aleksi-makela,-,-,1995-02-08,"6'2""",93 kg / 205,"Tampere, FIN",Finland,L,2013 round 7 #182 overall by Dallas Stars,Tampere, ,12.4
Aleksi Saarela,73,32,6.4,7.2,35.9,89,New York Rangers,Aleksi Saarela (F),2015,0,https://www.eliteprospects.com/player/94117/aleksi-saarela,Florida Panthers,Unsigned,1997-01-07,"5'10""",91 kg / 201,"Helsinki, FIN",Finland,L,2015 round 3 #89 overall by New York Rangers,Helsinki, ,10.5
Alex Broadhurst,55,22,4.7,7.0,32.8,199,Chicago Blackhawks,Alex Broadhurst (F),2011,0,https://www.eliteprospects.com/player/90896/alex-broadhurst,-,-,1993-03-07,"5'11""",82 kg / 181,"Orland Park, IL, USA",USA,L,2011 round 7 #199 overall by Chicago Blackhawks,Orland Park, ,14.3
Alex Chiasson,56,101,7.2,10.5,147.9,38,Dallas Stars,Alex Chiasson (F),2009,0,https://www.eliteprospects.com/player/32978/alex-chiasson,-,-,1990-10-01,"6'4""",94 kg / 207,"Montréal, QC, CAN",Canada,R,2009 round 2 #38 overall by Dallas Stars,Montréal, ,16.7
Alex Friesen,60,94,8.6,11.8,128.5,172,Vancouver Canucks,Alex Friesen (F),2010,0,https://www.eliteprospects.com/player/31568/alex-friesen,-,-,1991-01-30,"5'9""",84 kg / 185,"St. Catharines, ON, CAN",Canada,L,2010 round 6 #172 overall by Vancouver Canucks,St. Catharines, ,16.4
Alex Galchenyuk,2,0,0.0,0.0,0.0,3,Montréal Canadiens,Alex Galchenyuk (F),2012,0,https://www.eliteprospects.com/player/74611/alex-galchenyuk,Colorado Avalanche,Signed,1994-02-12,"6'1""",88 kg / 194,"Milwaukee, WI, USA",USA,L,2012 round 1 #3 overall by Montréal Canadiens,Milwaukee, ,13.4
Alex Grant,74,108,3.6,4.0,119.7,118,Pittsburgh Penguins,Alex Grant (D),2007,1,https://www.eliteprospects.com/player/11393/alex-grant,-,-,1989-01-20,"6'3""",95 kg / 209,"Antigonish, NS, CAN",Canada,R,2007 round 4 #118 overall by Pittsburgh Penguins,Antigonish, ,18.4
Alex Hutchings,63,60,9.8,12.8,78.1,93,Tampa Bay Lightning,Alex Hutchings (F),2009,0,https://www.eliteprospects.com/player/15380/alex-hutchings,-,-,1990-11-07,"5'11""",81 kg / 179,"Burlington, ON, CAN",Canada,R,2009 round 4 #93 overall by Tampa Bay Lightning,Burlington, ,16.6
Alex Lepkowski,39,75,0.8,1.7,157.7,137,Buffalo Sabres,Alex Lepkowski (D),2011,1,https://www.eliteprospects.com/player/45563/alex-lepkowski,-,-,1993-04-08,"6'4""",93 kg / 205,"Buffalo, NY, USA",USA,L,2011 round 5 #137 overall by Buffalo Sabres,Buffalo, ,14.2
Alex Lintuniemi,68,26,3.0,3.6,31.4,60,Los Angeles Kings,Alex Lintuniemi (D),2014,1,https://www.eliteprospects.com/player/50668/alex-lintuniemi,-,-,1995-09-23,"6'4""",105 kg / 231,"Helsinki, FIN",Finland,L,2014 round 2 #60 overall by Los Angeles Kings,Helsinki, ,11.8
Alex Peters,50,44,1.3,2.1,72.2,75,Dallas Stars,Alex Peters (D),2014,1,https://www.eliteprospects.com/player/196066/alex-peters,-,-,1996-07-02,"6'4""",100 kg / 220,"Blyth, ON, CAN",Canada,L,2014 round 3 #75 overall by Dallas Stars,Blyth, ,11.0
Alex Pietrangelo,60,94,7.6,10.4,128.5,4,St. Louis Blues,Alex Pietrangelo (D),2008,1,https://www.eliteprospects.com/player/11317/alex-pietrangelo,Vegas Golden Knights,Signed,1990-01-18,"6'3""",95 kg / 209,"King City, ON, CAN",Canada,R,2008 round 1 #4 overall by St. Louis Blues,King City, ,17.4
Alex Plante,58,81,5.4,7.6,114.5,15,Edmonton Oilers,Alex Plante (D),2007,1,https://www.eliteprospects.com/player/11706/alex-plante,-,-,1989-05-09,"6'5""",104 kg / 229,"Brandon, MB, CAN",Canada,R,2007 round 1 #15 overall by Edmonton Oilers,Brandon, ,18.1
Alex Schoenborn,72,121,5.1,5.8,137.8,72,San Jose Sharks,Alex Schoenborn (F),2014,0,https://www.eliteprospects.com/player/118437/alex-schoenborn,-,-,1995-12-12,"6'1""",93 kg / 205,"Minot, ND, USA",USA,R,2014 round 3 #72 overall by San Jose Sharks,Minot, ,11.6
Alex Theriau,70,68,3.4,4.0,79.7,109,Dallas Stars,Alex Theriau (D),2010,1,https://www.eliteprospects.com/player/30490/alex-theriau,-,-,1992-02-14,"6'1""",86 kg / 190,"Duncan, BC, CAN",Canada,R,2010 round 4 #109 overall by Dallas Stars,Duncan, ,15.4
Alex Tuch,94,120,12.7,11.1,104.7,18,Minnesota Wild,Alex Tuch (F),2014,0,https://www.eliteprospects.com/player/178526/alex-tuch,Buffalo Sabres,Signed,1996-05-10,"6'4""",98 kg / 216,"Syracuse, NY, USA",USA,R,2014 round 1 #18 overall by Minnesota Wild,Syracuse, ,11.1
Alex Velischek,45,62,2.0,3.6,113.0,123,Pittsburgh Penguins,Alex Velischek (D),2009,1,https://www.eliteprospects.com/player/38064/alex-velischek,-,-,1990-12-17,"6'0""",91 kg / 201,"Québec, QC, CAN",Canada,L,2009 round 5 #123 overall by Pittsburgh Penguins,Québec, ,16.5
Alexander Avtsin,72,129,14.4,16.4,146.9,109,Montréal Canadiens,Alexander Avtsin (F),2009,0,https://www.eliteprospects.com/player/38656/alexander-avtsin,-,-,1991-03-19,"6'3""",99 kg / 218,"Moskva, RUS",Russia,R,2009 round 4 #109 overall by Montréal Canadiens,Moskva, ,16.3
Alexander Burmistrov,68,55,10.5,12.7,66.3,8,Atlanta Thrashers,Alexander Burmistrov (F),2010,0,https://www.eliteprospects.com/player/22927/alexander-burmistrov,-,-,1991-10-21,"6'1""",85 kg / 187,"Kazan, RUS",Russia,L,2010 round 1 #8 overall by Atlanta Thrashers,Kazan, ,15.7
Alexander Deilert,46,72,1.6,2.9,128.3,198,Calgary Flames,Alexander Deilert (D),2008,1,https://www.eliteprospects.com/player/5507/alexander-deilert,-,-,1989-02-10,"6'0""",83 kg / 183,"Stockholm, SWE",Sweden,R,2008 round 7 #198 overall by Calgary Flames,Stockholm, ,18.4
Alexander Delnov,59,40,3.5,4.9,55.6,114,Florida Panthers,Alexander Delnov (F),2012,0,https://www.eliteprospects.com/player/160093/alexander-delnov,-,-,1994-01-14,"6'0""",86 kg / 190,"Moskva, RUS",Russia,L,2012 round 4 #114 overall by Florida Panthers,Moskva, ,13.5
Alexander Dergachyov,65,56,6.699999999999999,8.5,70.6,74,Los Angeles Kings,Alexander Dergachyov (F),2015,0,https://www.eliteprospects.com/player/231966/alexander-dergachyov,Los Angeles Kings,Unsigned,1996-09-27,"6'5""",102 kg / 225,"Langepas, RUS",Russia,L,2015 round 3 #74 overall by Los Angeles Kings,Langepas, ,10.8
Alexander Fällström,52,52,2.4,3.8,82.0,116,Minnesota Wild,Alexander Fällström (F),2009,0,https://www.eliteprospects.com/player/7054/alexander-fallstrom,-,-,1990-09-15,"6'2""",92 kg / 203,"Göteborg, SWE",Sweden,R,2009 round 4 #116 overall by Minnesota Wild,Göteborg, ,16.8
Alexander Guptill,29,50,1.3,3.7,141.4,77,Dallas Stars,Alexander Guptill (F),2010,0,https://www.eliteprospects.com/player/39485/alexander-guptill,-,-,1992-03-05,"6'3""",86 kg / 190,"Burlington, ON, CAN",Canada,L,2010 round 3 #77 overall by Dallas Stars,Burlington, ,15.3
Alexander Kadeykin,55,26,17.900000000000002,26.7,38.8,201,Detroit Red Wings,Alexander Kadeykin (F),2014,0,https://www.eliteprospects.com/player/94663/alexander-kadeykin,-,-,1993-10-04,"6'5""",103 kg / 227,"Elektrostal, RUS",Russia,L,2014 round 7 #201 overall by Detroit Red Wings,Elektrostal, ,13.7
Alexander Kerfoot,51,24,5.5,8.8,38.6,150,New Jersey Devils,Alexander Kerfoot (F),2012,0,https://www.eliteprospects.com/player/59968/alexander-kerfoot,Toronto Maple Leafs,Signed,1994-08-11,"5'10""",82 kg / 181,"Vancouver, BC, CAN",Canada,L,2012 round 5 #150 overall by New Jersey Devils,Vancouver, ,12.9
Alexander Khokhlachev,67,28,10.9,13.3,34.3,40,Boston Bruins,Alexander Khokhlachev (F),2011,0,https://www.eliteprospects.com/player/41925/alexander-khokhlachev,-,-,1993-09-09,"5'10""",89 kg / 196,"Moskva, RUS",Russia,L,2011 round 2 #40 overall by Boston Bruins,Moskva, ,13.8
Alexander Petrovic,57,87,3.8,5.5,125.2,36,Florida Panthers,Alexander Petrovic (D),2010,1,https://www.eliteprospects.com/player/32778/alexander-petrovic,Dallas Stars,Signed,1992-03-03,"6'4""",95 kg / 209,"Edmonton, AB, CAN",Canada,R,2010 round 2 #36 overall by Florida Panthers,Edmonton, ,15.3
Alexander Ruuttu,55,24,3.0,4.5,35.8,51,Phoenix Coyotes,Alexander Ruuttu (F),2011,0,https://www.eliteprospects.com/player/45423/alexander-ruuttu,-,-,1992-12-09,"6'2""",89 kg / 196,"Chicago, IL, USA",Finland,R,2011 round 2 #51 overall by Phoenix Coyotes,Chicago, ,14.6
Alexander Urbom,52,69,1.0,1.6,108.8,73,New Jersey Devils,Alexander Urbom (D),2009,1,https://www.eliteprospects.com/player/7045/alexander-urbom,-,-,1990-12-20,"6'4""",93 kg / 205,"Stockholm, SWE",Sweden,L,2009 round 3 #73 overall by New Jersey Devils,Stockholm, ,16.5
Alexander Wennberg,70,20,12.2,14.3,23.4,14,Columbus Blue Jackets,Alexander Wennberg (F),2013,0,https://www.eliteprospects.com/player/37041/alexander-wennberg,Seattle Kraken,Signed,1994-09-22,"6'1""",89 kg / 196,"Nacka, SWE",Sweden,L,2013 round 1 #14 overall by Columbus Blue Jackets,Nacka, ,12.8
Alexandre Carrier,68,64,6.2,7.5,77.2,115,Nashville Predators,Alexandre Carrier (D),2015,1,https://www.eliteprospects.com/player/151143/alexandre-carrier,Nashville Predators,Signed,1996-10-08,"5'11""",79 kg / 174,"Québec, QC, CAN",Canada,R,2015 round 4 #115 overall by Nashville Predators,Québec, ,10.7
Alexandre Grenier,97,74,7.1000000000000005,6.0,62.6,90,Vancouver Canucks,Alexandre Grenier (F),2011,0,https://www.eliteprospects.com/player/64591/alexandre-grenier,-,-,1991-09-05,"6'5""",91 kg / 201,"Laval, QC, CAN",Canada,R,2011 round 3 #90 overall by Vancouver Canucks,Laval, ,15.8
Alexandre Mallet,68,132,9.2,11.1,159.2,57,Vancouver Canucks,Alexandre Mallet (F),2012,0,https://www.eliteprospects.com/player/37446/alexandre-mallet,-,-,1992-05-22,"6'1""",93 kg / 205,"Amqui, QC, CAN",Canada,R,2012 round 2 #57 overall by Vancouver Canucks,Amqui, ,15.1
Alexei Cherepanov,83,67,25.8,25.5,66.2,17,New York Rangers,Alexei Cherepanov (F),2007,0,https://www.eliteprospects.com/player/10626/alexei-cherepanov,-,-,1989-01-15,"6'1""",83 kg / 183,"Ozerki, RUS",Russia,L,2007 round 1 #17 overall by New York Rangers,Ozerki, ,18.5
Alexei Marchenko,58,32,6.9,9.8,45.2,205,Detroit Red Wings,Alexei Marchenko (D),2011,1,https://www.eliteprospects.com/player/40249/alexei-marchenko,-,-,1992-01-02,"6'2""",93 kg / 205,"Moskva, RUS",Russia,R,2011 round 7 #205 overall by Detroit Red Wings,Moskva, ,15.5
Alexis Pépin,60,69,3.8,5.2,94.3,114,Colorado Avalanche,Alexis Pépin (F),2014,0,https://www.eliteprospects.com/player/128459/alexis-pepin,-,-,1996-04-24,"6'3""",111 kg / 245,"Montréal, QC, CAN",Canada,L,2014 round 4 #114 overall by Colorado Avalanche,Montréal, ,11.2
Alexis Vanier,61,52,4.1,5.5,69.9,102,San Jose Sharks,Alexis Vanier (D),2014,1,https://www.eliteprospects.com/player/128447/alexis-vanier,-,-,1995-12-21,"6'5""",98 kg / 216,"Ste-Catherine, QC, CAN",Canada,L,2014 round 4 #102 overall by San Jose Sharks,Ste-Catherine, ,11.5
Anders Bjork,94,14,8.399999999999999,7.3,12.2,146,Boston Bruins,Anders Bjork (F),2014,0,https://www.eliteprospects.com/player/183809/anders-bjork,Buffalo Sabres,Signed,1996-08-05,"6'0""",89 kg / 196,"Mequon, WI, USA",USA,L,2014 round 5 #146 overall by Boston Bruins,Mequon, ,10.9
Anders Lee,25,22,1.6,5.2,72.2,152,New York Islanders,Anders Lee (F),2009,0,https://www.eliteprospects.com/player/19068/anders-lee,New York Islanders,Signed,1990-07-03,"6'3""",107 kg / 236,"Edina, MN, USA",USA,L,2009 round 6 #152 overall by New York Islanders,Edina, ,17.0
Andong Song,5,16,0.0,0.0,262.4,172,New York Islanders,Andong Song (D),2015,1,https://www.eliteprospects.com/player/291003/andong-song,-,-,1997-01-31,"6'0""",76 kg / 168,"Beijing, CHN",China,L,2015 round 6 #172 overall by New York Islanders,Beijing, ,10.4
Andreas Athanasiou,63,22,5.3,6.9,28.6,110,Detroit Red Wings,Andreas Athanasiou (F),2012,0,https://www.eliteprospects.com/player/86009/andreas-athanasiou,Chicago Blackhawks,Signed,1994-08-06,"6'2""",86 kg / 190,"London, ON, CAN",Canada,L,2012 round 4 #110 overall by Detroit Red Wings,London, ,12.9
Andreas Dahlström,11,6,2.0,14.9,44.7,161,Anaheim Ducks,Andreas Dahlström (F),2010,0,https://www.eliteprospects.com/player/13025/andreas-dahlstrom,-,-,1991-06-22,"6'0""",86 kg / 190,"Huddinge, SWE",Sweden,L,2010 round 6 #161 overall by Anaheim Ducks,Huddinge, ,16.0
Andreas Englund,81,66,1.6,1.6,66.8,40,Ottawa Senators,Andreas Englund (D),2014,1,https://www.eliteprospects.com/player/115148/andreas-englund,Colorado Avalanche,Signed,1996-01-21,"6'3""",86 kg / 190,"Stockholm, SWE",Sweden,L,2014 round 2 #40 overall by Ottawa Senators,Stockholm, ,11.4
Andreas Johnsson,53,62,5.5,8.5,95.9,202,Toronto Maple Leafs,Andreas Johnsson (F),2013,0,https://www.eliteprospects.com/player/43991/andreas-johnsson,New Jersey Devils,Signed,1994-11-21,"5'10""",88 kg / 194,"Gävle, SWE",Sweden,L,2013 round 7 #202 overall by Toronto Maple Leafs,Gävle, ,12.6
Andreas Söderberg,52,40,0.6,0.9,63.1,148,Chicago Blackhawks,Andreas Söderberg (D),2014,1,https://www.eliteprospects.com/player/107557/andreas-soderberg,-,-,1996-06-16,"6'4""",95 kg / 209,"Skellefteå, SWE",Sweden,L,2014 round 5 #148 overall by Chicago Blackhawks,Skellefteå, ,11.0
Andreas Thuresson,71,42,9.3,10.7,48.5,144,Nashville Predators,Andreas Thuresson (F),2007,0,https://www.eliteprospects.com/player/4024/andreas-thuresson,-,-,1987-11-18,"6'1""",95 kg / 209,"Kristianstad, SWE",Sweden,R,2007 round 5 #144 overall by Nashville Predators,Kristianstad, ,19.6
Andrei Loktionov,60,74,6.0,8.2,101.1,123,Los Angeles Kings,Andrei Loktionov (F),2008,0,https://www.eliteprospects.com/player/11867/andrei-loktionov,-,-,1990-05-30,"5'10""",89 kg / 196,"Voskresensk, RUS",Russia,L,2008 round 5 #123 overall by Los Angeles Kings,Voskresensk, ,17.1
Andrei Mironov,81,44,6.2,6.3,44.5,101,Colorado Avalanche,Andrei Mironov (D),2015,1,https://www.eliteprospects.com/player/159421/andrei-mironov,-,-,1994-07-29,"6'2""",94 kg / 207,"Moskva, RUS",Russia,L,2015 round 4 #101 overall by Colorado Avalanche,Moskva, ,12.9
Andrei Pedan,57,114,2.0,2.9,164.0,63,New York Islanders,Andrei Pedan (D),2011,1,https://www.eliteprospects.com/player/79402/andrei-pedan,-,-,1993-07-03,"6'5""",106 kg / 234,"Kaunas, LTU",Russia,L,2011 round 3 #63 overall by New York Islanders,Kaunas, ,14.0
