playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,height _inches,weight,weight_pounds,birthplace,nation,shoots,draft,Birth City,new draft_age,redraft
Adam Musil ,66,71,5.5,6.8,88.2,94,St. Louis Blues,Adam Musil (F),2015,0,https://www.eliteprospects.com/player/189422/adam-musil,-,-,3/26/1997,"6'4""",76,92 kg / 203,203,"Delta, BC, CAN",Czechia,R,2015 round 4 #94 overall by St. Louis Blues,Delta,18.3,FALSE
Adam Ollas Mattsson,68,72,1.9,2.3,86.8,175,Calgary Flames,Adam Ollas Mattsson (D),2014,1,https://www.eliteprospects.com/player/114812/adam-ollas-mattsson,-,-,7/30/1996,"6'4""",76,98 kg / 216,216,"Stockholm, SWE",Sweden,L,2014 round 6 #175 overall by Calgary Flames,Stockholm,17.9,FALSE
Adam Parsells ,44,44,0.6,1.1,82,160,San Jose Sharks,Adam Parsells (D),2015,1,https://www.eliteprospects.com/player/245310/adam-parsells,-,-,1/3/1997,"6'6""",78,87 kg / 192,192,"Wausau, WI, USA",USA,R,2015 round 6 #160 overall by San Jose Sharks,Wausau,18.5,FALSE
Adam Pelech ,51,60,2.9,4.7,96.5,65,New York Islanders,Adam Pelech (D),2012,1,https://www.eliteprospects.com/player/89694/adam-pelech,New York Islanders,Signed,8/16/1994,"6'3""",75,93 kg / 205,205,"Toronto, ON, CAN",Canada,L,2012 round 3 #65 overall by New York Islanders,Toronto,17.9,FALSE
Adam Polasek ,70,99,4.6,5.4,116,145,Vancouver Canucks,Adam Polasek (D),2010,1,https://www.eliteprospects.com/player/34799/adam-polasek,-,-,7/12/1991,"6'3""",75,95 kg / 209,209,"Ostrava, CZE",Czechia,L,2010 round 5 #145 overall by Vancouver Canucks,Ostrava,19.0,FALSE
Adam Tambellini ,52,26,5.2,8.2,41,65,New York Rangers,Adam Tambellini (F),2013,0,https://www.eliteprospects.com/player/103529/adam-tambellini,-,-,11/1/1994,"6'4""",76,88 kg / 194,194,"Edmonton, AB, CAN",Canada,L,2013 round 3 #65 overall by New York Rangers,Edmonton,18.7,FALSE
Adrian Kempe ,89,86,8.8,8.1,79.2,29,Los Angeles Kings,Adrian Kempe (F),2014,0,https://www.eliteprospects.com/player/86313/adrian-kempe,Los Angeles Kings,Signed,9/13/1996,"6'2""",74,91 kg / 201,201,"Kramfors, SWE",Sweden,L,2014 round 1 #29 overall by Los Angeles Kings,Kramfors,17.8,FALSE
Aidan Muir ,37,41,1.6,3.5,90.9,113,Edmonton Oilers,Aidan Muir (F),2013,0,https://www.eliteprospects.com/player/207023/aidan-muir,-,-,8/21/1995,"6'3""",75,83 kg / 183,183,"Brampton, ON, CAN",Canada,R,2013 round 4 #113 overall by Edmonton Oilers,Brampton,17.9,FALSE
Akim Aliu ,53,104,6,9.3,160.9,56,Chicago Blackhawks,Akim Aliu (F),2007,0,https://www.eliteprospects.com/player/11116/akim-aliu,-,-,4/24/1989,"6'4""",76,102 kg / 225,225,"Okene, NIG",Canada,R,2007 round 2 #56 overall by Chicago Blackhawks,Okene,18.2,FALSE
Alain Goulet ,43,34,1.4,2.7,64.8,159,Boston Bruins,Alain Goulet (D),2007,1,https://www.eliteprospects.com/player/12559/alain-goulet,-,-,9/22/1988,"6'3""",75,88 kg / 194,194,"Kapuskasing, ON, CAN",Canada,R,2007 round 6 #159 overall by Boston Bruins,Kapuskasing,18.8,FALSE
Alan Quine ,54,20,9.6,14.6,30.4,85,Detroit Red Wings,Alan Quine (F),2011,0,https://www.eliteprospects.com/player/45411/alan-quine,-,-,2/25/1993,"6'1""",73,93 kg / 205,205,"Belleville, ON, CAN",Canada,L,2013 round 6 #166 overall by New York Islanders,Belleville,18.3,FALSE
Alan Quine ,54,20,9.6,14.6,30.4,166,New York Islanders,Alan Quine (F),2013,0,https://www.eliteprospects.com/player/45411/alan-quine,-,-,2/25/1993,"6'1""",73,93 kg / 205,205,"Belleville, ON, CAN",Canada,L,2013 round 6 #166 overall by New York Islanders,Belleville,20.4,TRUE
Alec Martinez ,42,40,4.7,9.2,78.1,95,Los Angeles Kings,Alec Martinez (D),2007,1,https://www.eliteprospects.com/player/12531/alec-martinez,Vegas Golden Knights,Signed,7/26/1987,"6'1""",73,94 kg / 207,207,"Rochester Hills, MI, USA",USA,L,2007 round 4 #95 overall by Los Angeles Kings,Rochester Hills,19.9,FALSE
Aleksander Barkov ,59,14,23.1,32.1,19.5,2,Florida Panthers,Aleksander Barkov (F),2013,0,https://www.eliteprospects.com/player/50044/aleksander-barkov,Florida Panthers,Signed,9/2/1995,"6'3""",75,97 kg / 214,214,"Tampere, FIN",Finland,L,2013 round 1 #2 overall by Florida Panthers,Tampere,17.8,FALSE
Aleksi Makela ,60,54,2.7,3.7,73.8,182,Dallas Stars,Aleksi MÃ¤kelÃ¤ (D),2013,1,https://www.eliteprospects.com/player/92114/aleksi-makela,-,-,2/8/1995,"6'2""",74,93 kg / 205,205,"Tampere, FIN",Finland,L,2013 round 7 #182 overall by Dallas Stars,Tampere,18.4,FALSE
Aleksi Saarela ,73,32,6.4,7.2,35.9,89,New York Rangers,Aleksi Saarela (F),2015,0,https://www.eliteprospects.com/player/94117/aleksi-saarela,Florida Panthers,Unsigned,1/7/1997,"5'10""",70,91 kg / 201,201,"Helsinki, FIN",Finland,L,2015 round 3 #89 overall by New York Rangers,Helsinki,18.5,FALSE
Alex Broadhurst ,55,22,4.7,7,32.8,199,Chicago Blackhawks,Alex Broadhurst (F),2011,0,https://www.eliteprospects.com/player/90896/alex-broadhurst,-,-,3/7/1993,"5'11""",71,82 kg / 181,181,"Orland Park, IL, USA",USA,L,2011 round 7 #199 overall by Chicago Blackhawks,Orland Park,18.3,FALSE
Alex Chiasson ,56,101,7.2,10.5,147.9,38,Dallas Stars,Alex Chiasson (F),2009,0,https://www.eliteprospects.com/player/32978/alex-chiasson,-,-,10/1/1990,"6'4""",76,94 kg / 207,207,"MontrÃ©al, QC, CAN",Canada,R,2009 round 2 #38 overall by Dallas Stars,MontrÃ©al,18.7,FALSE
Alex Friesen ,60,94,8.6,11.8,128.5,172,Vancouver Canucks,Alex Friesen (F),2010,0,https://www.eliteprospects.com/player/31568/alex-friesen,-,-,1/30/1991,"5'9""",69,84 kg / 185,185,"St. Catharines, ON, CAN",Canada,L,2010 round 6 #172 overall by Vancouver Canucks,St. Catharines,19.4,FALSE
Alex Galchenyuk ,2,0,0,0,0,3,MontrÃ©al Canadiens,Alex Galchenyuk (F),2012,0,https://www.eliteprospects.com/player/74611/alex-galchenyuk,Colorado Avalanche,Signed,2/12/1994,"6'1""",73,88 kg / 194,194,"Milwaukee, WI, USA",USA,L,2012 round 1 #3 overall by MontrÃ©al Canadiens,Milwaukee,18.4,FALSE
Alex Grant ,74,108,3.6,4,119.7,118,Pittsburgh Penguins,Alex Grant (D),2007,1,https://www.eliteprospects.com/player/11393/alex-grant,-,-,1/20/1989,"6'3""",75,95 kg / 209,209,"Antigonish, NS, CAN",Canada,R,2007 round 4 #118 overall by Pittsburgh Penguins,Antigonish,18.4,FALSE
Alex Hutchings ,63,60,9.8,12.8,78.1,93,Tampa Bay Lightning,Alex Hutchings (F),2009,0,https://www.eliteprospects.com/player/15380/alex-hutchings,-,-,11/7/1990,"5'11""",71,81 kg / 179,179,"Burlington, ON, CAN",Canada,R,2009 round 4 #93 overall by Tampa Bay Lightning,Burlington,18.6,FALSE
Alex Lepkowski ,39,75,0.8,1.7,157.7,137,Buffalo Sabres,Alex Lepkowski (D),2011,1,https://www.eliteprospects.com/player/45563/alex-lepkowski,-,-,4/8/1993,"6'4""",76,93 kg / 205,205,"Buffalo, NY, USA",USA,L,2011 round 5 #137 overall by Buffalo Sabres,Buffalo,18.2,FALSE
Alex Lintuniemi ,68,26,3,3.6,31.4,60,Los Angeles Kings,Alex Lintuniemi (D),2014,1,https://www.eliteprospects.com/player/50668/alex-lintuniemi,-,-,9/23/1995,"6'4""",76,105 kg / 231,231,"Helsinki, FIN",Finland,L,2014 round 2 #60 overall by Los Angeles Kings,Helsinki,18.8,FALSE
Alex Peters ,50,44,1.3,2.1,72.2,75,Dallas Stars,Alex Peters (D),2014,1,https://www.eliteprospects.com/player/196066/alex-peters,-,-,7/2/1996,"6'4""",76,100 kg / 220,220,"Blyth, ON, CAN",Canada,L,2014 round 3 #75 overall by Dallas Stars,Blyth,18.0,FALSE
Alex Pietrangelo ,60,94,7.6,10.4,128.5,4,St. Louis Blues,Alex Pietrangelo (D),2008,1,https://www.eliteprospects.com/player/11317/alex-pietrangelo,Vegas Golden Knights,Signed,1/18/1990,"6'3""",75,95 kg / 209,209,"King City, ON, CAN",Canada,R,2008 round 1 #4 overall by St. Louis Blues,King City,18.4,FALSE
Alex Plante ,58,81,5.4,7.6,114.5,15,Edmonton Oilers,Alex Plante (D),2007,1,https://www.eliteprospects.com/player/11706/alex-plante,-,-,5/9/1989,"6'5""",77,104 kg / 229,229,"Brandon, MB, CAN",Canada,R,2007 round 1 #15 overall by Edmonton Oilers,Brandon,18.1,FALSE
Alex Schoenborn ,72,121,5.1,5.8,137.8,72,San Jose Sharks,Alex Schoenborn (F),2014,0,https://www.eliteprospects.com/player/118437/alex-schoenborn,-,-,12/12/1995,"6'1""",73,93 kg / 205,205,"Minot, ND, USA",USA,R,2014 round 3 #72 overall by San Jose Sharks,Minot,18.6,FALSE
Alex Theriau ,70,68,3.4,4,79.7,109,Dallas Stars,Alex Theriau (D),2010,1,https://www.eliteprospects.com/player/30490/alex-theriau,-,-,2/14/1992,"6'1""",73,86 kg / 190,190,"Duncan, BC, CAN",Canada,R,2010 round 4 #109 overall by Dallas Stars,Duncan,18.4,FALSE
Alex Tuch ,94,120,12.7,11.1,104.7,18,Minnesota Wild,Alex Tuch (F),2014,0,https://www.eliteprospects.com/player/178526/alex-tuch,Buffalo Sabres,Signed,5/10/1996,"6'4""",76,98 kg / 216,216,"Syracuse, NY, USA",USA,R,2014 round 1 #18 overall by Minnesota Wild,Syracuse,18.1,FALSE
Alex Velischek ,45,62,2,3.6,113,123,Pittsburgh Penguins,Alex Velischek (D),2009,1,https://www.eliteprospects.com/player/38064/alex-velischek,-,-,12/17/1990,"6'0""",72,91 kg / 201,201,"QuÃ©bec, QC, CAN",Canada,L,2009 round 5 #123 overall by Pittsburgh Penguins,QuÃ©bec,18.5,FALSE
Alexander Avtsin ,72,129,14.4,16.4,146.9,109,MontrÃ©al Canadiens,Alexander Avtsin (F),2009,0,https://www.eliteprospects.com/player/38656/alexander-avtsin,-,-,3/19/1991,"6'3""",75,99 kg / 218,218,"Moskva, RUS",Russia,R,2009 round 4 #109 overall by MontrÃ©al Canadiens,Moskva,18.3,FALSE
Alexander Burmistrov ,68,55,10.5,12.7,66.3,8,Atlanta Thrashers,Alexander Burmistrov (F),2010,0,https://www.eliteprospects.com/player/22927/alexander-burmistrov,-,-,10/21/1991,"6'1""",73,85 kg / 187,187,"Kazan, RUS",Russia,L,2010 round 1 #8 overall by Atlanta Thrashers,Kazan,18.7,FALSE
Alexander Deilert ,46,72,1.6,2.9,128.3,198,Calgary Flames,Alexander Deilert (D),2008,1,https://www.eliteprospects.com/player/5507/alexander-deilert,-,-,2/10/1989,"6'0""",72,83 kg / 183,183,"Stockholm, SWE",Sweden,R,2008 round 7 #198 overall by Calgary Flames,Stockholm,19.4,FALSE
Alexander Delnov ,59,40,3.5,4.9,55.6,114,Florida Panthers,Alexander Delnov (F),2012,0,https://www.eliteprospects.com/player/160093/alexander-delnov,-,-,1/14/1994,"6'0""",72,86 kg / 190,190,"Moskva, RUS",Russia,L,2012 round 4 #114 overall by Florida Panthers,Moskva,18.4,FALSE
Alexander Dergachyov ,65,56,6.7,8.5,70.6,74,Los Angeles Kings,Alexander Dergachyov (F),2015,0,https://www.eliteprospects.com/player/231966/alexander-dergachyov,Los Angeles Kings,Unsigned,9/27/1996,"6'5""",77,102 kg / 225,225,"Langepas, RUS",Russia,L,2015 round 3 #74 overall by Los Angeles Kings,Langepas,18.8,FALSE
Alexander Fallstrom ,52,52,2.4,3.8,82,116,Minnesota Wild,Alexander FÃ¤llstrÃ¶m (F),2009,0,https://www.eliteprospects.com/player/7054/alexander-fallstrom,-,-,9/15/1990,"6'2""",74,92 kg / 203,203,"GÃ¶teborg, SWE",Sweden,R,2009 round 4 #116 overall by Minnesota Wild,GÃ¶teborg,18.8,FALSE
Alexander Guptill ,29,50,1.3,3.7,141.4,77,Dallas Stars,Alexander Guptill (F),2010,0,https://www.eliteprospects.com/player/39485/alexander-guptill,-,-,3/5/1992,"6'3""",75,86 kg / 190,190,"Burlington, ON, CAN",Canada,L,2010 round 3 #77 overall by Dallas Stars,Burlington,18.3,FALSE
Alexander Kadeykin ,55,26,17.9,26.7,38.8,201,Detroit Red Wings,Alexander Kadeykin (F),2014,0,https://www.eliteprospects.com/player/94663/alexander-kadeykin,-,-,10/4/1993,"6'5""",77,103 kg / 227,227,"Elektrostal, RUS",Russia,L,2014 round 7 #201 overall by Detroit Red Wings,Elektrostal,20.7,FALSE
Alexander Kerfoot ,51,24,5.5,8.8,38.6,150,New Jersey Devils,Alexander Kerfoot (F),2012,0,https://www.eliteprospects.com/player/59968/alexander-kerfoot,Toronto Maple Leafs,Signed,8/11/1994,"5'10""",70,82 kg / 181,181,"Vancouver, BC, CAN",Canada,L,2012 round 5 #150 overall by New Jersey Devils,Vancouver,17.9,FALSE
Alexander Khokhlachev ,67,28,10.9,13.3,34.3,40,Boston Bruins,Alexander Khokhlachev (F),2011,0,https://www.eliteprospects.com/player/41925/alexander-khokhlachev,-,-,9/9/1993,"5'10""",70,89 kg / 196,196,"Moskva, RUS",Russia,L,2011 round 2 #40 overall by Boston Bruins,Moskva,17.8,FALSE
Alexander Petrovic ,57,87,3.8,5.5,125.2,36,Florida Panthers,Alexander Petrovic (D),2010,1,https://www.eliteprospects.com/player/32778/alexander-petrovic,Dallas Stars,Signed,3/3/1992,"6'4""",76,95 kg / 209,209,"Edmonton, AB, CAN",Canada,R,2010 round 2 #36 overall by Florida Panthers,Edmonton,18.3,FALSE
Alexander Ruuttu ,55,24,3,4.5,35.8,51,Phoenix Coyotes,Alexander Ruuttu (F),2011,0,https://www.eliteprospects.com/player/45423/alexander-ruuttu,-,-,12/9/1992,"6'2""",74,89 kg / 196,196,"Chicago, IL, USA",Finland,R,2011 round 2 #51 overall by Phoenix Coyotes,Chicago,18.6,FALSE
Alexander Urbom ,52,69,1,1.6,108.8,73,New Jersey Devils,Alexander Urbom (D),2009,1,https://www.eliteprospects.com/player/7045/alexander-urbom,-,-,12/20/1990,"6'4""",76,93 kg / 205,205,"Stockholm, SWE",Sweden,L,2009 round 3 #73 overall by New Jersey Devils,Stockholm,18.5,FALSE
Alexander Wennberg ,70,20,12.2,14.3,23.4,14,Columbus Blue Jackets,Alexander Wennberg (F),2013,0,https://www.eliteprospects.com/player/37041/alexander-wennberg,Seattle Kraken,Signed,9/22/1994,"6'1""",73,89 kg / 196,196,"Nacka, SWE",Sweden,L,2013 round 1 #14 overall by Columbus Blue Jackets,Nacka,18.8,FALSE
Alexandre Carrier ,68,64,6.2,7.5,77.2,115,Nashville Predators,Alexandre Carrier (D),2015,1,https://www.eliteprospects.com/player/151143/alexandre-carrier,Nashville Predators,Signed,10/8/1996,"5'11""",71,79 kg / 174,174,"QuÃ©bec, QC, CAN",Canada,R,2015 round 4 #115 overall by Nashville Predators,QuÃ©bec,18.7,FALSE
Alexandre Grenier ,97,74,7.1,6,62.6,90,Vancouver Canucks,Alexandre Grenier (F),2011,0,https://www.eliteprospects.com/player/64591/alexandre-grenier,-,-,9/5/1991,"6'5""",77,91 kg / 201,201,"Laval, QC, CAN",Canada,R,2011 round 3 #90 overall by Vancouver Canucks,Laval,19.8,FALSE
Alexandre Mallet ,68,132,9.2,11.1,159.2,57,Vancouver Canucks,Alexandre Mallet (F),2012,0,https://www.eliteprospects.com/player/37446/alexandre-mallet,-,-,5/22/1992,"6'1""",73,93 kg / 205,205,"Amqui, QC, CAN",Canada,R,2012 round 2 #57 overall by Vancouver Canucks,Amqui,20.1,FALSE
Alexei Cherepanov ,83,67,25.8,25.5,66.2,17,New York Rangers,Alexei Cherepanov (F),2007,0,https://www.eliteprospects.com/player/10626/alexei-cherepanov,-,-,1/15/1989,"6'1""",73,83 kg / 183,183,"Ozerki, RUS",Russia,L,2007 round 1 #17 overall by New York Rangers,Ozerki,18.4,FALSE
Alexei Marchenko ,58,32,6.9,9.8,45.2,205,Detroit Red Wings,Alexei Marchenko (D),2011,1,https://www.eliteprospects.com/player/40249/alexei-marchenko,-,-,1/2/1992,"6'2""",74,93 kg / 205,205,"Moskva, RUS",Russia,R,2011 round 7 #205 overall by Detroit Red Wings,Moskva,19.5,FALSE
Alexis Pepin ,60,69,3.8,5.2,94.3,114,Colorado Avalanche,Alexis PÃ©pin (F),2014,0,https://www.eliteprospects.com/player/128459/alexis-pepin,-,-,4/24/1996,"6'3""",75,111 kg / 245,245,"MontrÃ©al, QC, CAN",Canada,L,2014 round 4 #114 overall by Colorado Avalanche,MontrÃ©al,18.2,FALSE
Alexis Vanier ,61,52,4.1,5.5,69.9,102,San Jose Sharks,Alexis Vanier (D),2014,1,https://www.eliteprospects.com/player/128447/alexis-vanier,-,-,12/21/1995,"6'5""",77,98 kg / 216,216,"Ste-Catherine, QC, CAN",Canada,L,2014 round 4 #102 overall by San Jose Sharks,Ste-Catherine,18.5,FALSE
Anders Bjork ,94,14,8.4,7.3,12.2,146,Boston Bruins,Anders Bjork (F),2014,0,https://www.eliteprospects.com/player/183809/anders-bjork,Buffalo Sabres,Signed,8/5/1996,"6'0""",72,89 kg / 196,196,"Mequon, WI, USA",USA,L,2014 round 5 #146 overall by Boston Bruins,Mequon,17.9,FALSE
Anders Lee ,25,22,1.6,5.2,72.2,152,New York Islanders,Anders Lee (F),2009,0,https://www.eliteprospects.com/player/19068/anders-lee,New York Islanders,Signed,7/3/1990,"6'3""",75,107 kg / 236,236,"Edina, MN, USA",USA,L,2009 round 6 #152 overall by New York Islanders,Edina,19.0,FALSE
Andong Song ,5,16,0,0,262.4,172,New York Islanders,Andong Song (D),2015,1,https://www.eliteprospects.com/player/291003/andong-song,-,-,1/31/1997,"6'0""",72,76 kg / 168,168,"Beijing, CHN",China,L,2015 round 6 #172 overall by New York Islanders,Beijing,18.4,FALSE
Andre Burakovsky ,85,52,5.7,5.5,50.2,23,Washington Capitals,AndrÃ© Burakovsky (F),2013,0,https://www.eliteprospects.com/player/38705/andre-burakovsky,Seattle Kraken,Signed,2/9/1995,"6'2""",74,91 kg / 201,201,"Klagenfurt, AUT",Sweden,L,2013 round 1 #23 overall by Washington Capitals,Klagenfurt,18.4,FALSE
Andre Petersson ,60,46,5,6.8,62.9,109,Ottawa Senators,AndrÃ© Petersson (F),2008,0,https://www.eliteprospects.com/player/7039/andre-petersson,-,-,9/11/1990,"5'10""",70,79 kg / 174,174,"OlofstrÃ¶m, SWE",Sweden,R,2008 round 4 #109 overall by Ottawa Senators,OlofstrÃ¶m,17.8,FALSE
Andreas Athanasiou ,63,22,5.3,6.9,28.6,110,Detroit Red Wings,Andreas Athanasiou (F),2012,0,https://www.eliteprospects.com/player/86009/andreas-athanasiou,Chicago Blackhawks,Signed,8/6/1994,"6'2""",74,86 kg / 190,190,"London, ON, CAN",Canada,L,2012 round 4 #110 overall by Detroit Red Wings,London,17.9,FALSE
Andreas Dahlstrom ,11,6,2,14.9,44.7,161,Anaheim Ducks,Andreas DahlstrÃ¶m (F),2010,0,https://www.eliteprospects.com/player/13025/andreas-dahlstrom,-,-,6/22/1991,"6'0""",72,86 kg / 190,190,"Huddinge, SWE",Sweden,L,2010 round 6 #161 overall by Anaheim Ducks,Huddinge,19.0,FALSE
Andreas Englund ,81,66,1.6,1.6,66.8,40,Ottawa Senators,Andreas Englund (D),2014,1,https://www.eliteprospects.com/player/115148/andreas-englund,Colorado Avalanche,Signed,1/21/1996,"6'3""",75,86 kg / 190,190,"Stockholm, SWE",Sweden,L,2014 round 2 #40 overall by Ottawa Senators,Stockholm,18.4,FALSE
